Project Name,Package Name,Type Name,Code Smell
java-client,io.appium.java_client.android,AndroidAppStringsTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidAppStringsTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidConnectionTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidConnectionTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidContextTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidContextTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidDataMatcherTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidDataMatcherTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidDriverTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidDriverTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidDriverTest,Insufficient Modularization
java-client,io.appium.java_client.android,AndroidElementTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidElementTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidFunctionTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidFunctionTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidScreenRecordTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidScreenRecordTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidSearchingTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidSearchingTest,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidViewMatcherTest,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidViewMatcherTest,Broken Hierarchy
java-client,io.appium.java_client.android,BaseAndroidTest,Unutilized Abstraction
java-client,io.appium.java_client.android,BaseAndroidTest,Deficient Encapsulation
java-client,io.appium.java_client.android,BaseAndroidTest,Wide Hierarchy
java-client,io.appium.java_client.android,BaseEspressoTest,Unutilized Abstraction
java-client,io.appium.java_client.android,BatteryTest,Unutilized Abstraction
java-client,io.appium.java_client.android,BatteryTest,Broken Hierarchy
java-client,io.appium.java_client.android,ClipboardTest,Unutilized Abstraction
java-client,io.appium.java_client.android,ClipboardTest,Broken Hierarchy
java-client,io.appium.java_client.android,ExecuteCDPCommandTest,Unutilized Abstraction
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,Unutilized Abstraction
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,Broken Hierarchy
java-client,io.appium.java_client.android,ImagesComparisonTest,Unutilized Abstraction
java-client,io.appium.java_client.android,ImagesComparisonTest,Broken Hierarchy
java-client,io.appium.java_client.android,KeyCodeTest,Unutilized Abstraction
java-client,io.appium.java_client.android,KeyCodeTest,Broken Hierarchy
java-client,io.appium.java_client.android,LogEventTest,Unutilized Abstraction
java-client,io.appium.java_client.android,LogEventTest,Broken Hierarchy
java-client,io.appium.java_client.android,OpenNotificationsTest,Unutilized Abstraction
java-client,io.appium.java_client.android,OpenNotificationsTest,Broken Hierarchy
java-client,io.appium.java_client.android,SettingTest,Unutilized Abstraction
java-client,io.appium.java_client.android,SettingTest,Broken Hierarchy
java-client,io.appium.java_client.android,TestResources,Deficient Encapsulation
java-client,io.appium.java_client.android,UIAutomator2Test,Unutilized Abstraction
java-client,io.appium.java_client.android,UIAutomator2Test,Broken Hierarchy
java-client,io.appium.java_client.android,Activity,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidDriver,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidDriver,Broken Hierarchy
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,Insufficient Modularization
java-client,io.appium.java_client.android,AndroidStartScreenRecordingOptions,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidStopScreenRecordingOptions,Unutilized Abstraction
java-client,io.appium.java_client.android,AndroidTouchAction,Unutilized Abstraction
java-client,io.appium.java_client.android,AuthenticatesByFinger,Unutilized Abstraction
java-client,io.appium.java_client.android,CanReplaceElementValue,Unutilized Abstraction
java-client,io.appium.java_client.android,HasAndroidClipboard,Unutilized Abstraction
java-client,io.appium.java_client.android,HasAndroidDeviceDetails,Unutilized Abstraction
java-client,io.appium.java_client.android,HasAndroidSettings,Unutilized Abstraction
java-client,io.appium.java_client.android,HasNotifications,Unutilized Abstraction
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,Unutilized Abstraction
java-client,io.appium.java_client.android,ListensToLogcatMessages,Unutilized Abstraction
java-client,io.appium.java_client.android,StartsActivity,Unutilized Abstraction
java-client,io.appium.java_client.android,SupportsGpsStateManagement,Unutilized Abstraction
java-client,io.appium.java_client.android,SupportsNetworkStateManagement,Unutilized Abstraction
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,Unutilized Abstraction
java-client,io.appium.java_client.pagefactory_tests,AndroidPageObjectTest,Multifaceted Abstraction
