Project Name,Package Name,Type Name,Method Name,Code Smell
java-client,io.appium.java_client.android,AndroidConnectionTest,test3,Long Statement
java-client,io.appium.java_client.android,AndroidContextTest,beforeClass2,Magic Number
java-client,io.appium.java_client.android,AndroidContextTest,testGetContextHandles,Magic Number
java-client,io.appium.java_client.android,AndroidDataMatcherTest,testFindByDataMatcher,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,powerTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,pushFileTest,Long Statement
java-client,io.appium.java_client.android,AndroidDriverTest,pushTempFileTest,Long Statement
java-client,io.appium.java_client.android,AndroidDriverTest,pushTempFileTest,Long Statement
java-client,io.appium.java_client.android,AndroidDriverTest,geolocationTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,geolocationTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,geolocationTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,runAppInBackgroundTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,runAppInBackgroundTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,testApplicationsManagement,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,testApplicationsManagement,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,getSupportedPerformanceDataTypesTest,Magic Number
java-client,io.appium.java_client.android,AndroidDriverTest,getPerformanceDataTest,Magic Number
java-client,io.appium.java_client.android,AndroidElementTest,findByAccessibilityIdTest,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,findByAccessibilityIdTest,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,findByAndroidUIAutomatorTest,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,findByAndroidUIAutomatorTest,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,findByAndroidUIAutomatorTest,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,replaceValueTest,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,scrollingToSubElement,Long Statement
java-client,io.appium.java_client.android,AndroidElementTest,setValueTest,Long Statement
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPreCondition,Magic Number
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPostConditions,Long Statement
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPostConditions,Magic Number
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPostConditions,Magic Number
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPrecondition,Long Statement
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPrecondition,Magic Number
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPrecondition,Magic Number
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPostConditions,Long Statement
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPostConditions,Long Statement
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPostConditions,Magic Number
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPostConditions,Magic Number
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,verifyLogcatListenerCanBeAssigned,Long Statement
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,verifyLogcatListenerCanBeAssigned,Magic Number
java-client,io.appium.java_client.android,AndroidScreenRecordTest,verifyBasicScreenRecordingWorks,Magic Number
java-client,io.appium.java_client.android,AndroidScreenRecordTest,verifyBasicScreenRecordingWorks,Magic Number
java-client,io.appium.java_client.android,AndroidSearchingTest,findScrollable,Long Statement
java-client,io.appium.java_client.android,AndroidViewMatcherTest,testFindByViewMatcher,Long Statement
java-client,io.appium.java_client.android,AndroidViewMatcherTest,testFindByViewMatcher,Magic Number
java-client,io.appium.java_client.android,BaseAndroidTest,beforeClass,Long Statement
java-client,io.appium.java_client.android,BaseEspressoTest,beforeClass,Long Statement
java-client,io.appium.java_client.android,ExecuteCDPCommandTest,setUp,Long Statement
java-client,io.appium.java_client.android,ExecuteCDPCommandTest,setUp,Magic Number
java-client,io.appium.java_client.android,ExecuteCDPCommandTest,testExecuteCDPCommandWithParams,Magic Number
java-client,io.appium.java_client.android,ExecuteCDPCommandTest,testExecuteCDPCommandWithParams,Magic Number
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,verifyBasicScriptExecution,Long Statement
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,verifyBasicScriptExecution,Long Statement
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,verifyBasicScriptExecution,Magic Number
java-client,io.appium.java_client.android,FingerPrintTest,initDriver,Long Statement
java-client,io.appium.java_client.android,FingerPrintTest,initDriver,Magic Number
java-client,io.appium.java_client.android,FingerPrintTest,findElementByText,Long Statement
java-client,io.appium.java_client.android,FingerPrintTest,clickOnSecurity,Long Statement
java-client,io.appium.java_client.android,FingerPrintTest,fingerPrintTest,Magic Number
java-client,io.appium.java_client.android,FingerPrintTest,fingerPrintTest,Magic Number
java-client,io.appium.java_client.android,FingerPrintTest,fingerPrintTest,Magic Number
java-client,io.appium.java_client.android,ImagesComparisonTest,verifyFeaturesMatching,Long Statement
java-client,io.appium.java_client.android,ImagesComparisonTest,verifyFeaturesMatching,Magic Number
java-client,io.appium.java_client.android,ImagesComparisonTest,verifyOccurrencesLookup,Long Statement
java-client,io.appium.java_client.android,ImagesComparisonTest,verifySimilarityCalculation,Long Statement
java-client,io.appium.java_client.android,KeyCodeTest,pressKeyCodeTest,Long Statement
java-client,io.appium.java_client.android,KeyCodeTest,pressKeyAndGenerateIMEActionTest,Long Statement
java-client,io.appium.java_client.android,LogEventTest,verifyLoggingCustomEvents,Long Statement
java-client,io.appium.java_client.android,OpenNotificationsTest,openNotification,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,SettingTest,configuratorTest,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testLandscapeRightRotation,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testLandscapeRightRotation,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testLandscapeRightRotation,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testLandscapeLeftRotation,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testLandscapeLeftRotation,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testLandscapeLeftRotation,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testPortraitUpsideDown,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testPortraitUpsideDown,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testPortraitUpsideDown,Magic Number
java-client,io.appium.java_client.android,UIAutomator2Test,testToastMSGIsDisplayed,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testToastMSGIsDisplayed,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testToastMSGIsDisplayed,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testToastMSGIsDisplayed,Long Statement
java-client,io.appium.java_client.android,UIAutomator2Test,testToastMSGIsDisplayed,Magic Number
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Magic Number
java-client,io.appium.java_client.android,AndroidBatteryInfo,getState,Missing default
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,getPerformanceDataCommand,Long Statement
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,gsmSignalStrengthCommand,Long Statement
java-client,io.appium.java_client.android,CanReplaceElementValue,replaceElementValue,Long Statement
java-client,io.appium.java_client.android,CanReplaceElementValue,replaceElementValue,Long Statement
java-client,io.appium.java_client.android,HasAndroidClipboard,setClipboard,Long Statement
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,getPerformanceData,Long Statement
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,getPerformanceData,Long Statement
java-client,io.appium.java_client.android,SupportsNetworkStateManagement,toggleWifi,Long Statement
java-client,io.appium.java_client.android,SupportsNetworkStateManagement,toggleAirplaneMode,Long Statement
java-client,io.appium.java_client.android,SupportsNetworkStateManagement,toggleData,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,sendSMS,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,sendSMS,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,makeGsmCall,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,makeGsmCall,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setGsmSignalStrength,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setGsmSignalStrength,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setGsmVoice,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setGsmVoice,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setNetworkSpeed,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setNetworkSpeed,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setPowerAC,Long Statement
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,setPowerAC,Long Statement
java-client,io.appium.java_client.pagefactory_tests,AndroidPageObjectTest,setUp,Magic Number
java-client,io.appium.java_client.pagefactory_tests,AndroidPageObjectTest,androidOrIOSFindByElementsTestChainSearches,Long Identifier
