Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
java-client,io.appium.java_client.android,AndroidAppStringsTest,getAppStrings,3,1,0
java-client,io.appium.java_client.android,AndroidAppStringsTest,getGetAppStringsUsingLang,3,1,0
java-client,io.appium.java_client.android,AndroidConnectionTest,test1,4,1,0
java-client,io.appium.java_client.android,AndroidConnectionTest,test2,8,1,0
java-client,io.appium.java_client.android,AndroidConnectionTest,test3,6,1,0
java-client,io.appium.java_client.android,AndroidContextTest,beforeClass2,4,1,0
java-client,io.appium.java_client.android,AndroidContextTest,testGetContext,3,1,0
java-client,io.appium.java_client.android,AndroidContextTest,testGetContextHandles,3,1,0
java-client,io.appium.java_client.android,AndroidContextTest,testSwitchContext,7,1,0
java-client,io.appium.java_client.android,AndroidContextTest,testContextError,3,1,0
java-client,io.appium.java_client.android,AndroidDataMatcherTest,testFindByDataMatcher,7,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,sendSMSTest,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,getStatusTest,3,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,gsmCallTest,9,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,toggleWiFi,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,toggleAirplane,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,toggleData,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,gsmSignalStrengthTest,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,gsmVoiceTest,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,networkSpeedTest,8,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,powerTest,9,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,getDeviceTimeTest,4,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,isAppInstalledTest,3,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,isAppNotInstalledTest,3,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,closeAppTest,5,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,pushFileTest,7,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,pushTempFileTest,13,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,toggleLocationServicesTest,3,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,geolocationTest,4,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,orientationTest,6,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,lockTest,10,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,runAppInBackgroundTest,6,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,testApplicationsManagement,10,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,pullFileTest,4,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,deviceDetailsAndKeyboardTest,5,1,0
java-client,io.appium.java_client.android,AndroidDriverTest,getSupportedPerformanceDataTypesTest,13,2,0
java-client,io.appium.java_client.android,AndroidDriverTest,getPerformanceDataTest,10,3,0
java-client,io.appium.java_client.android,AndroidDriverTest,getCurrentPackageTest,3,1,0
java-client,io.appium.java_client.android,AndroidElementTest,setup,3,1,0
java-client,io.appium.java_client.android,AndroidElementTest,findByAccessibilityIdTest,4,1,0
java-client,io.appium.java_client.android,AndroidElementTest,findByAndroidUIAutomatorTest,5,1,0
java-client,io.appium.java_client.android,AndroidElementTest,replaceValueTest,10,1,0
java-client,io.appium.java_client.android,AndroidElementTest,scrollingToSubElement,6,1,0
java-client,io.appium.java_client.android,AndroidElementTest,setValueTest,7,1,0
java-client,io.appium.java_client.android,AndroidFunctionTest,startWebViewActivity,5,2,0
java-client,io.appium.java_client.android,AndroidFunctionTest,setUp,3,1,0
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPreCondition,7,1,0
java-client,io.appium.java_client.android,AndroidFunctionTest,complexWaitingTestWithPostConditions,31,4,0
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPrecondition,4,1,0
java-client,io.appium.java_client.android,AndroidFunctionTest,nullPointerExceptionSafetyTestWithPostConditions,4,1,0
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,verifyLogcatListenerCanBeAssigned,21,1,0
