Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
java-client,io.appium.java_client.android,AndroidAppStringsTest,0,0,2,2,8,2,0,1,-1.0,0,0
java-client,io.appium.java_client.android,AndroidConnectionTest,0,0,3,3,20,3,0,1,-1.0,0,1
java-client,io.appium.java_client.android,AndroidContextTest,0,0,5,5,22,5,0,1,-1.0,0,1
java-client,io.appium.java_client.android,AndroidDataMatcherTest,0,0,1,1,9,1,0,1,-1.0,0,1
java-client,io.appium.java_client.android,AndroidDriverTest,0,0,27,27,188,30,0,1,-1.0,0,1
java-client,io.appium.java_client.android,AndroidElementTest,0,0,6,6,37,6,0,1,-1.0,0,1
java-client,io.appium.java_client.android,AndroidFunctionTest,3,0,6,6,94,10,0,1,0.5,0,1
java-client,io.appium.java_client.android,AndroidLogcatListenerTest,0,0,1,1,23,1,0,1,-1.0,0,0
java-client,io.appium.java_client.android,AndroidScreenRecordTest,0,0,2,2,18,3,0,1,-1.0,0,0
java-client,io.appium.java_client.android,AndroidSearchingTest,0,0,5,5,24,5,0,1,-1.0,0,1
java-client,io.appium.java_client.android,AndroidViewMatcherTest,0,0,1,1,7,1,0,1,-1.0,0,1
java-client,io.appium.java_client.android,BaseAndroidTest,4,1,3,3,29,5,18,0,0.0,0,4
java-client,io.appium.java_client.android,BaseEspressoTest,2,0,2,2,27,5,2,0,0.0,0,4
java-client,io.appium.java_client.android,BatteryTest,0,0,1,1,7,1,0,1,-1.0,0,1
java-client,io.appium.java_client.android,ClipboardTest,0,0,2,2,11,2,0,1,-1.0,0,0
java-client,io.appium.java_client.android,ExecuteCDPCommandTest,3,0,4,4,39,6,0,0,0.0,0,2
java-client,io.appium.java_client.android,ExecuteDriverScriptTest,0,0,1,1,8,1,0,1,-1.0,0,1
java-client,io.appium.java_client.android,FingerPrintTest,2,0,12,5,87,14,0,0,0.0,1,4
java-client,io.appium.java_client.android,ImagesComparisonTest,0,0,3,3,25,3,0,1,-1.0,0,3
java-client,io.appium.java_client.android,KeyCodeTest,1,0,6,6,34,6,0,1,0.3333333333333333,0,0
java-client,io.appium.java_client.android,LogEventTest,0,0,1,1,14,1,0,1,-1.0,0,2
java-client,io.appium.java_client.android,OpenNotificationsTest,0,0,1,1,12,1,0,1,-1.0,0,0
java-client,io.appium.java_client.android,SettingTest,0,0,12,11,81,12,0,1,-1.0,0,0
java-client,io.appium.java_client.android,TestResources,1,1,1,0,5,1,0,0,0.0,4,0
java-client,io.appium.java_client.android,UIAutomator2Test,0,0,5,5,43,5,0,1,-1.0,0,1
java-client,io.appium.java_client.android,Activity,9,0,1,1,26,1,0,0,0.0,0,0
java-client,io.appium.java_client.android,AndroidBatteryInfo,0,0,2,2,21,6,0,0,-1.0,1,0
java-client,io.appium.java_client.android,AndroidDriver,2,0,15,15,122,16,0,1,0.26666666666666666,4,5
java-client,io.appium.java_client.android,AndroidMobileCommandHelper,0,0,24,24,189,24,0,0,-1.0,0,0
java-client,io.appium.java_client.android,AndroidStartScreenRecordingOptions,3,0,7,7,55,7,0,0,0.5714285714285714,0,1
java-client,io.appium.java_client.android,AndroidStopScreenRecordingOptions,0,0,1,1,5,1,0,0,-1.0,0,0
java-client,io.appium.java_client.android,AndroidTouchAction,0,0,1,1,9,1,0,0,-1.0,0,1
java-client,io.appium.java_client.android,AuthenticatesByFinger,0,0,1,0,15,1,1,0,-1.0,0,1
java-client,io.appium.java_client.android,CanReplaceElementValue,0,0,1,0,16,1,1,0,-1.0,0,2
java-client,io.appium.java_client.android,HasAndroidClipboard,0,0,2,0,19,2,1,0,-1.0,0,1
java-client,io.appium.java_client.android,HasAndroidDeviceDetails,0,0,2,0,28,2,1,0,-1.0,0,1
java-client,io.appium.java_client.android,HasAndroidSettings,0,0,13,0,106,13,1,0,-1.0,0,0
java-client,io.appium.java_client.android,HasNotifications,0,0,1,0,14,1,1,0,-1.0,0,1
java-client,io.appium.java_client.android,HasSupportedPerformanceDataType,0,0,2,0,31,2,1,0,-1.0,0,1
java-client,io.appium.java_client.android,ListensToLogcatMessages,0,0,10,0,71,10,1,0,-1.0,0,1
java-client,io.appium.java_client.android,StartsActivity,0,0,2,0,28,2,1,0,-1.0,0,1
java-client,io.appium.java_client.android,SupportsGpsStateManagement,0,0,2,0,21,2,1,0,-1.0,0,1
java-client,io.appium.java_client.android,SupportsNetworkStateManagement,0,0,3,0,41,3,1,0,-1.0,0,1
java-client,io.appium.java_client.android,SupportsSpecialEmulatorCommands,0,0,7,0,95,7,1,0,-1.0,0,1
java-client,io.appium.java_client.pagefactory_tests,AndroidPageObjectTest,38,0,39,39,170,40,0,0,0.9743589743589743,0,0
java-client,io.appium.java_client.pagefactory_tests,MobileBrowserCompatibilityTest,5,0,3,3,34,5,0,0,0.0,0,3
java-client,io.appium.java_client.pagefactory_tests,XCUITModeTest,13,0,12,12,61,13,0,0,0.8333333333333334,0,0
java-client,io.appium.java_client.pagefactory_tests,DesktopBrowserCompatibilityTest,5,0,2,2,27,2,0,0,1.0,0,0
java-client,io.appium.java_client.pagefactory_tests,TimeoutTest,5,0,7,4,43,7,0,0,0.2857142857142857,1,1
java-client,io.appium.java_client.service.local,ServerBuilderTest,7,0,27,2,193,29,0,0,0.18518518518518517,0,4
java-client,io.appium.java_client.service.local,StartingAppLocallyAndroidTest,0,0,3,0,44,3,0,0,-1.0,0,6
java-client,io.appium.java_client.service.local,ThreadSafetyTest,10,0,9,2,173,28,0,0,0.3333333333333333,0,3
java-client,io.appium.java_client.service.local,Action,0,0,2,1,11,2,0,0,-1.0,2,0
java-client,io.appium.java_client.service.local,TestThread,3,0,2,1,16,2,0,0,0.0,1,1
java-client,io.appium.java_client.service.local,StartingAppLocallyIosTest,1,0,3,0,46,3,0,0,0.0,0,6
java-client,io.appium.java_client.service.local,AppiumDriverLocalService,17,0,25,16,275,40,0,0,0.12,17,4
java-client,io.appium.java_client.service.local,AppiumServerAvailabilityChecker,9,0,7,3,104,11,0,0,0.42857142857142855,1,2
java-client,io.appium.java_client.service.local,ConnectionError,4,0,3,1,41,5,0,0,0.0,2,1
java-client,io.appium.java_client.service.local,ConnectionTimeout,1,0,1,1,12,1,0,0,0.0,2,1
java-client,io.appium.java_client.service.local,AppiumServerHasNotBeenStartedLocallyException,0,0,3,3,11,3,0,0,-1.0,0,0
java-client,io.appium.java_client.service.local,AppiumServiceBuilder,15,4,26,13,306,57,0,0,0.07692307692307693,13,7
java-client,io.appium.java_client.service.local,InvalidNodeJSInstance,1,0,1,1,6,1,0,0,0.0,0,0
